sim,period,reward,saa,funding_ratio
1,1,0.19438529784537395,"[1.0, 0.0]",1.194385297845374
1,2,-0.08366650432796696,"[1.0, 0.0]",1.110718793517407
1,3,-0.0073218308357254624,"[1.0, 0.0]",1.1033969626816815
1,4,-0.026740733297439867,"[0.98, 0.020000000000000018]",1.0766562293842417
1,5,-0.039866231462467816,"[0.98, 0.020000000000000018]",1.0367899979217738
1,6,0.0170836344111851,"[0.98, 0.020000000000000018]",1.053873632332959
1,7,0.08063431537059063,"[0.98, 0.020000000000000018]",1.1345079477035496
1,8,-0.0767164608391484,"[0.84, 0.16000000000000003]",1.0577914868644012
1,9,-0.11137588578311985,"[0.92, 0.07999999999999996]",0.9464156010812813
1,10,0.11640506888941682,"[0.92, 0.07999999999999996]",1.0628206699706981
1,11,-0.06721303388358868,"[0.58, 0.42000000000000004]",0.9956076360871094
1,12,0.26475600238345753,"[0.84, 0.16000000000000003]",1.260363638470567
1,13,0.008409294419709834,"[0.84, 0.16000000000000003]",1.2687729328902768
1,14,-0.02445674140614207,"[0.84, 0.16000000000000003]",1.2443161914841347
1,15,-0.039650813718254074,"[0.84, 0.16000000000000003]",1.2046653777658807
1,16,0.10783751500493688,"[0.58, 0.42000000000000004]",1.3125028927708176
1,17,-0.1386687731244245,"[0.84, 0.16000000000000003]",1.173834119646393
1,18,-0.03536789477883118,"[0.84, 0.16000000000000003]",1.1384662248675619
1,19,-0.03511915870341764,"[0.84, 0.16000000000000003]",1.1033470661641442
1,20,0.24533814245392094,"[0.84, 0.16000000000000003]",1.3486852086180652
1,21,0.1629956794078209,"[0.84, 0.16000000000000003]",1.511680888025886
1,22,0.18339653158848157,"[0.84, 0.16000000000000003]",1.6950774196143676
1,23,0.4611854675250644,"[0.84, 0.16000000000000003]",2.156262887139432
1,24,-0.09391558939759692,"[0.84, 0.16000000000000003]",2.062347297741835
1,25,-0.32260926678059043,"[0.84, 0.16000000000000003]",1.7397380309612447
1,26,-0.030318402494794228,"[0.84, 0.16000000000000003]",1.7094196284664505
1,27,0.14244860808096416,"[0.84, 0.16000000000000003]",1.8518682365474146
1,28,0.17587935058729665,"[0.84, 0.16000000000000003]",2.0277475871347113
1,29,-0.32504481212602077,"[0.84, 0.16000000000000003]",1.7027027750086905
1,30,-0.14814663596877686,"[0.84, 0.16000000000000003]",1.5545561390399136
1,31,-0.17796783962923657,"[0.84, 0.16000000000000003]",1.376588299410677
1,32,-0.05111593590728769,"[0.84, 0.16000000000000003]",1.3254723635033894
1,33,0.33652018158245456,"[0.84, 0.16000000000000003]",1.661992545085844
1,34,0.4720679845238809,"[0.84, 0.16000000000000003]",2.134060529609725
1,35,-0.008583035672057537,"[0.84, 0.16000000000000003]",2.1254774939376673
1,36,-0.07270999612574558,"[0.84, 0.16000000000000003]",2.0527674978119217
1,37,-0.20443509901502832,"[0.84, 0.16000000000000003]",1.8483323987968934
1,38,-0.09697722621140326,"[0.84, 0.16000000000000003]",1.7513551725854901
1,39,0.06770052391667969,"[0.84, 0.16000000000000003]",1.8190556965021698
1,40,-0.18896925912641205,"[0.84, 0.16000000000000003]",1.6300864373757578
