id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,19.0,12300000.0,240000.0,73300.0,81500.0,17596386.74121825,0.0,17596386.74121825,1.4306005480665245,5296386.74121825,19.0
1.0,20.0,10400000.0,237000.0,74600.0,82900.0,17928415.909403592,0.0,17928415.909403592,1.7238861451349607,7528415.909403592,20.0
1.0,21.0,9840000.0,240000.0,74300.0,82500.0,18094115.909403592,0.0,18094115.909403592,1.8388329176223164,8254115.909403592,21.0
1.0,22.0,9420000.0,239000.0,73900.0,82100.0,17347091.526410557,0.0,17347091.526410557,1.8415171471773415,7927091.526410557,22.0
1.0,23.0,7440000.0,241000.0,73600.0,81700.0,16846628.502643753,0.0,16846628.502643753,2.2643317879897515,9406628.502643753,23.0
1.0,24.0,7280000.0,246000.0,73900.0,82100.0,17863249.989481285,0.0,17863249.989481285,2.4537431304232533,10583249.989481285,24.0
1.0,25.0,8260000.0,243000.0,73500.0,81700.0,17466484.96481473,0.0,17466484.96481473,2.1145865574836233,9206484.96481473,25.0
1.0,26.0,8880000.0,242000.0,73100.0,81200.0,17108246.44857662,0.0,17108246.44857662,1.9266043297946647,8228246.448576622,26.0
1.0,27.0,8430000.0,246000.0,72700.0,80800.0,16715947.820986679,0.0,16715947.820986679,1.9829119597848968,8285947.820986679,27.0
1.0,28.0,8620000.0,250000.0,73700.0,81900.0,16741804.290597798,0.0,16741804.290597798,1.9422046740832712,8121804.290597798,28.0
1.0,29.0,10600000.0,255000.0,73300.0,81400.0,17941405.991466146,0.0,17941405.991466146,1.6925854708930326,7341405.991466146,29.0
1.0,30.0,11500000.0,256000.0,72800.0,80900.0,18705907.545589652,0.0,18705907.545589652,1.6266006561382307,7205907.545589652,30.0
1.0,31.0,13400000.0,255000.0,72400.0,80400.0,20256844.682549533,0.0,20256844.682549533,1.5117048270559352,6856844.6825495325,31.0
1.0,32.0,13700000.0,258000.0,72600.0,80700.0,20735361.225106027,0.0,20735361.225106027,1.513530016431097,7035361.225106027,32.0
1.0,33.0,11000000.0,261000.0,72100.0,80100.0,20534229.080461785,0.0,20534229.080461785,1.8667480982237987,9534229.080461785,33.0
1.0,34.0,9060000.0,258000.0,71600.0,79500.0,21652472.396133143,0.0,21652472.396133143,2.3898976154672344,12592472.396133143,34.0
1.0,35.0,9210000.0,261000.0,71100.0,79000.0,22771479.98665122,0.0,22771479.98665122,2.472473397030534,13561479.98665122,35.0
1.0,36.0,10100000.0,258000.0,71100.0,79000.0,24843175.38514634,0.0,24843175.38514634,2.459720335163004,14743175.385146338,36.0
1.0,37.0,11100000.0,263000.0,70600.0,78400.0,23638643.63323956,0.0,23638643.63323956,2.1296075345260865,12538643.63323956,37.0
1.0,38.0,12200000.0,264000.0,70000.0,77800.0,21749606.35627849,0.0,21749606.35627849,1.7827546193670893,9549606.35627849,38.0
1.0,39.0,13200000.0,265000.0,69500.0,77200.0,21075339.598090913,0.0,21075339.598090913,1.5966166362190086,7875339.598090913,39.0
1.0,40.0,14500000.0,263000.0,69900.0,77700.0,20425636.767563257,0.0,20425636.767563257,1.408664604659535,5925636.767563257,40.0
